zi,freq,weight
路,582800.0,0.0013034559286565699
拉,581415.0,0.0013003583197664027
口,576735.0,0.0012898913092205676
车,576402.0,0.0012891465411624984
当,574997.0,0.001286004201458033
入,571857.0,0.0012789814636131778
战,571324.0,0.0012777893874121244
体,567819.0,0.0012699503122063224
能,567065.0,0.0012682639605072713
将,564712.0,0.00126300138020506
世,561436.0,0.0012556744728229752
二,560969.0,0.0012546300083091065
理,551332.0,0.0012330764654394028
工,543916.0,0.001216490279497541
表,542890.0,0.0012141955887240306
合,542588.0,0.0012135201534281244
马,542360.0,0.0012130102221451222
外,541582.0,0.0012112701934689132
天,540748.0,0.001209404918512668
州,540295.0,0.001208391765568808
该,536933.0,0.0012008725156852404
定,536681.0,0.0012003089074250801
十,531085.0,0.0011877932255843762
球,527757.0,0.0011803500180851154
期,527732.0,0.0011802941045672426
种,526900.0,0.0011784333026924273
但,526829.0,0.0011782745083016679
化,524522.0,0.0011731148088723426
赛,520507.0,0.0011641350979019307
业,519804.0,0.0011625628097793404
使,517864.0,0.0011582239207923914
科,517031.0,0.0011563608823768616
制,516904.0,0.0011560768417060664
次,513808.0,0.0011491525116526678
全,512276.0,0.0011457261312774073
布,504296.0,0.0011278785363723293
称,503383.0,0.0011258365746996057
性,500960.0,0.0011204174365473491
场,498519.0,0.0011149580406622248
通,496348.0,0.0011101025107701286
队,494414.0,0.0011057770410274695
总,493576.0,0.001103902819908365
者,488133.0,0.0010917293287970443
线,487550.0,0.0010904254255602447
共,482133.0,0.001078310084507512
设,481213.0,0.0010762524670497838
县,480768.0,0.001075257206431643
式,474118.0,0.0010603842106774119
数,473841.0,0.0010597646888993782
重,470078.0,0.0010513485861891267
都,466740.0,0.001043883013282717
系,463564.0,0.0010367797599721246
两,459876.0,0.001028531397815492
罗,459219.0,0.0010270619905657884
力,454866.0,0.0010173263288337324
安,453212.0,0.0010136270904912514
士,450865.0,0.0010083779294333293
联,435433.0,0.0009738636331206523
比,432269.0,0.0009667872182986387
王,428559.0,0.0009584896522462779
相,427198.0,0.0009554457203332693
原,426963.0,0.0009549201332652627
基,426764.0,0.0009544750616629932
城,426703.0,0.0009543386326793828
院,425780.0,0.0009522743055995098
站,424635.0,0.000949713466480924
达,424208.0,0.0009487584635956524
省,422994.0,0.0009460433031677367
属,421658.0,0.0009430552847726012
明,419649.0,0.0009385620744763227
运,415300.0,0.0009288353589071267
目,413936.0,0.000925784717371973
水,407823.0,0.0009121127439816547
司,404715.0,0.0009051615754396767
正,402498.0,0.0009002031646746947
金,400912.0,0.0008966560111008283
治,400796.0,0.0008963965723778973
米,400687.0,0.0008961527894399709
英,400261.0,0.0008952000230954141
格,398460.0,0.0008911720132678395
尼,398001.0,0.0008901454410796902
镇,396754.0,0.0008873564748081824
号,396543.0,0.0008868845647173338
统,396293.0,0.0008863254295386033
华,395760.0,0.0008851333533375498
府,393726.0,0.0008805842295233985
兰,390024.0,0.000872304555796757
约,389675.0,0.0008715240030872492
关,387808.0,0.0008673483815724897
组,386855.0,0.000865216958271169
们,383006.0,0.0008566085130594339
四,382844.0,0.0008562461934636168
如,381296.0,0.0008527840284369174
或,380266.0,0.0008504803915005477
列,378313.0,0.0008461124274843049
元,375367.0,0.0008395235785381446
巴,375311.0,0.0008393983322581089
选,374273.0,0.0008370768029960197
计,373899.0,0.0008362403367686389
港,370686.0,0.0008290543314515943
起,370486.0,0.00082860702330861
星,370050.0,0.000827631891556904
影,369991.0,0.0008274999356547236
语,368280.0,0.000823673214491492
从,367944.0,0.0008229217368112782
产,363300.0,0.0008125352417311803
首,362591.0,0.0008109495343643005
常,361746.0,0.0008090596574601912
女,361612.0,0.0008087599610043918
提,357969.0,0.0008006122431799308
阿,356916.0,0.0007982571658071177
改,351428.0,0.0007859830303636255
演,347682.0,0.0007776049488455276
林,343763.0,0.0007688399457837482
量,342079.0,0.0007650736112198196
心,338789.0,0.0007577153922677257
然,338086.0,0.0007561431041451358
向,336420.0,0.0007524170273140755
就,334896.0,0.0007490085392645343
始,331107.0,0.0007405342864956947
接,330922.0,0.0007401205264634341
乐,330828.0,0.0007399102916362313
议,330065.0,0.0007382038110707459
实,326065.0,0.0007292576482110577
无,325464.0,0.0007279134872413897
界,324789.0,0.0007264038222588173
参,323803.0,0.000724198593113904
书,323485.0,0.0007234873731665588
务,323298.0,0.0007230691400528684
级,320338.0,0.0007164489795366992
曾,319871.0,0.0007154045150228307
意,317739.0,0.0007106362102186168
则,317441.0,0.00070996972108557
义,316537.0,0.0007079478882792803
广,315413.0,0.0007054340165157081
管,313305.0,0.0007007193886886524
单,311388.0,0.0006964319401381469
说,311361.0,0.0006963715535388441
河,311008.0,0.0006955820546664765
卡,310489.0,0.0006944212900354321
手,309748.0,0.0006927640133656747
受,308990.0,0.0006910687155037637
委,308415.0,0.0006897827045926836
程,307259.0,0.0006871972635262338
形,306034.0,0.0006844575011504543
色,305803.0,0.0006839408602453071
视,305272.0,0.0006827532571256836
保,304795.0,0.0006816864272046658
交,304106.0,0.0006801454506520845
指,303745.0,0.0006793380594539976
门,302761.0,0.0006771373033905143
包,301925.0,0.0006752675553528395
团,299735.0,0.0006703695311871602
维,298758.0,0.0006681844309086813
结,298517.0,0.0006676454245963852
流,297035.0,0.0006643308712568707
湾,296241.0,0.0006625550579292225
型,296099.0,0.0006622374691477036
已,295501.0,0.0006609000178001802
处,292886.0,0.0006550514638306591
音,292743.0,0.0006547316385084253
传,291976.0,0.00065301621178008
些,291190.0,0.0006512582907781513
香,290687.0,0.0006501333107985455
直,289464.0,0.0006473980215041959
类,286488.0,0.0006407420763365878
党,285995.0,0.0006396394617641313
太,280574.0,0.0006275151745485389
集,280451.0,0.0006272400800406034
获,279430.0,0.000624956571970668
史,279116.0,0.0006242542981861824
变,278100.0,0.0006219819728198216
身,277984.0,0.0006217225340968907
万,276742.0,0.0006189447505289575
夫,275786.0,0.0006168066176054919
点,274735.0,0.000614456013314109
应,273186.0,0.0006109916117466947
字,272194.0,0.000608772963357492
五,272114.0,0.0006085940401002983
导,271989.0,0.000608314472510933
认,271541.0,0.0006073125022706481
岛,270317.0,0.0006045749764355834
品,269632.0,0.0006030429460458617
校,268122.0,0.0005996657695663295
空,267906.0,0.0005991826767719063
朝,266318.0,0.0005956310501166102
领,264990.0,0.0005926609240471936
回,264430.0,0.0005914084612468372
更,264379.0,0.0005912943976703763
江,262738.0,0.0005876242343571893
还,261003.0,0.0005837438362167994
展,260955.0,0.0005836364822624831
古,260840.0,0.0005833792800802671
社,260727.0,0.0005831265509794809
积,260192.0,0.0005819300016969976
铁,259312.0,0.0005799618458678662
示,259296.0,0.0005799260612164276
张,256916.0,0.000574603094314913
师,253092.0,0.0005660505626210512
持,252786.0,0.0005653661811622849
各,252067.0,0.000563758108388256
图,251644.0,0.000562812051665844
洲,250371.0,0.0005599649353357481
带,250220.0,0.0005596272176877949
奥,250132.0,0.0005594304021048818
著,249530.0,0.0005580840045944989
官,247871.0,0.0005543735835484431
只,247833.0,0.000554288595001276
反,246793.0,0.0005519625926577571
别,246492.0,0.0005512893939025657
命,244815.0,0.0005475387151236413
专,243762.0,0.0005451836377508285
纪,243532.0,0.0005446692333863963
风,243135.0,0.0005437813267225723
游,240845.0,0.0005386596484854007
京,238428.0,0.0005332539295774342
取,238114.0,0.0005325516557929486
活,237715.0,0.0005316592760476949
资,237198.0,0.00053050298449808
据,236755.0,0.0005295121969613696
造,235879.0,0.0005275529872950978
光,235874.0,0.0005275418045915234
报,233516.0,0.000522268041585737
举,233385.0,0.0005219750547520824
击,232542.0,0.000520089650929403
信,232330.0,0.0005196155042978397
少,230429.0,0.0005153638403987726
术,229998.0,0.0005143998913506413
石,229849.0,0.0005140666467841179
支,228673.0,0.0005114364749033695
族,228663.0,0.0005114141094962203
历,228493.0,0.0005110338975746837
神,227991.0,0.0005099111541357927
近,227631.0,0.0005091059994784209
曲,227546.0,0.0005089158935176523
普,227466.0,0.0005087369702604585
没,226739.0,0.0005071110051607104
清,226671.0,0.0005069589203920956
局,226405.0,0.0005063640005619264
纳,226163.0,0.0005058227577089152
村,225767.0,0.0005049370875858061
标,224828.0,0.0005028369758544943
解,224763.0,0.0005026916007080243
转,224325.0,0.0005017119958748885
它,223858.0,0.0005006675313610201
剧,223831.0,0.0005006071447617171
又,223651.0,0.0005002045674330312
情,222997.0,0.0004987418698054719
际,222711.0,0.0004981022191610043
非,222553.0,0.0004977488457280466
节,221753.0,0.000495959613156109
龙,221172.0,0.0004946601830007393
每,220730.0,0.0004936716320047439
论,220300.0,0.0004927099194973274
苏,219322.0,0.0004905225826781335
研,218806.0,0.0004893685276692337
记,217464.0,0.0004863670900298083
波,217293.0,0.00048598464156755664
权,215799.0,0.0004826432497394632
件,215509.0,0.0004819946529321356
条,215221.0,0.0004813505292062382
角,214119.0,0.00047888586133839413
气,214109.0,0.0004788634959312449
放,213349.0,0.0004771637249879042
决,213161.0,0.0004767432553334988
乡,212652.0,0.0004756048561096034
辖,211995.0,0.0004741354488598997
片,211941.0,0.0004740146756612939
武,211026.0,0.00047196824090714023
头,210262.0,0.00047025952380093963
即,209624.0,0.0004688326108248194
密,209191.0,0.0004678641886952582
版,208749.0,0.0004668756376992627
伊,208452.0,0.00046621138510693084
连,207897.0,0.0004649701050101491
商,207086.0,0.00046315627049034735
她,207018.0,0.00046300418572173263
李,203189.0,0.00045444047132429607
先,202980.0,0.00045397303431487737
括,202079.0,0.0004519579111307326
周,201840.0,0.0004514233778998662
职,201031.0,0.0004496140164614943
收,200862.0,0.00044923604108067244
知,199226.0,0.00044557706047105997
座,199050.0,0.0004451834293052338
器,198674.0,0.0004443424899964231
往,197984.0,0.00044279927690312685
去,197211.0,0.0004410704309304921
白,197174.0,0.00044098767892404003
离,196594.0,0.0004396904853093852
未,196556.0,0.0004396054967622181
创,195495.0,0.00043723252706368574
强,195172.0,0.00043651012441276604
果,195141.0,0.00043644079165060354
根,193609.0,0.0004330144112753429
歌,193426.0,0.0004326051243245121
再,193367.0,0.00043247316842233175
初,192009.0,0.00042943594613146764
福,190194.0,0.00042537662473388413
足,189434.0,0.0004236768537905433
陆,189067.0,0.00042285604334816695
办,189035.0,0.0004227844740452895
究,188998.0,0.0004227017220388373
六,188731.0,0.0004221045656679532
且,187093.0,0.0004184411119769108
今,185489.0,0.0004148537006701759
派,184875.0,0.00041348046467121365
圣,184709.0,0.0004131091989125367
亲,184637.0,0.0004129481679810623
汉,184567.0,0.0004127916101310177
兵,184422.0,0.000412467311727354
复,184267.0,0.0004121206479165411
